cd C:\mlc\ml\mllll\ML_mini_project\projectPrice,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
12/18/2024,246.4752502,252.6656947,246.1672207,250.5591584,56774100
12/19/2024,248.2042084,250.4001849,245.5213523,245.928753,60882300
12/20/2024,252.8743744,253.3811312,244.1302382,246.4653101,147495300
12/23/2024,253.6494293,254.0270066,251.8409763,253.1526036,40858800
12/24/2024,256.5608215,256.5707374,253.669277,253.8680194,23234700
12/26/2024,257.3755798,258.4487403,255.9944201,256.5508625,27237100
12/27/2024,253.967392,257.057664,251.4534548,256.1931617,42355300
12/30/2024,250.5989075,251.8906575,249.1581158,250.6287158,35557500
12/31/2024,248.8302155,251.6720594,247.846495,250.8373958,39480700
1/2/2025,242.3019257,247.5185961,240.2848143,247.349662,55740700
1/3/2025,241.8150482,242.6298346,240.3543792,241.8150482,40244100
1/6/2025,243.4446106,245.7598203,241.6560349,242.7589887,45045600
1/7/2025,240.672348,243.9911406,239.8178071,241.4374488,40856000
1/8/2025,241.1591949,242.1627926,238.5260248,240.3841481,37628900
1/10/2025,235.3463593,238.6353432,231.520795,238.4862864,61710900
1/13/2025,232.911911,233.1802012,228.2616292,232.047439,49630700
1/14/2025,231.7990112,234.6209777,230.994156,233.2596801,39435300
1/15/2025,236.3598785,237.4429702,232.9417149,233.1503884,39832000
1/16/2025,226.8108978,236.4990005,226.5823622,235.843202,71759100
1/17/2025,228.5199585,230.8152909,227.0294813,230.646372,68488300
1/21/2025,221.2265625,222.9952609,217.9872642,222.5779291,98070400
1/22/2025,222.4090118,222.6971641,218.3946514,218.3946514,64126500
1/23/2025,222.2401123,225.5887132,220.8887456,223.3132578,60234800
1/24/2025,221.3656616,224.1975742,220.004364,223.3529645,54697900
1/27/2025,228.4007263,230.6761815,222.5580509,222.5978054,94863400
1/28/2025,236.747406,238.6651613,229.3447052,229.3844598,75707600
1/29/2025,237.8404388,238.3372646,232.5243969,232.6336992,45486100
1/30/2025,236.0816498,239.2613315,235.7040725,237.1547952,55658300
1/31/2025,234.5017548,245.6207175,231.9580093,245.6207175,100959800
2/3/2025,226.5625,230.3582565,224.2671672,228.5299411,73063300
2/4/2025,231.3220673,231.6499741,225.2111016,225.8072985,45067300
2/5/2025,230.9941711,231.1928984,226.8208378,227.0791817,39620300
2/6/2025,231.7394104,232.3157301,228.9671141,229.8216551,29925300
2/7/2025,226.1848907,232.5144458,225.8172294,231.1233398,39707200
2/10/2025,226.4534607,229.3780104,226.0058289,228.3633825,33115600
2/11/2025,231.3973541,233.9936367,226.9309631,227.0005873,53718400
2/12/2025,235.6250153,235.7145538,229.4675472,229.9848184,45243300
2/13/2025,240.2605286,241.0662688,234.3318625,235.6648159,53614100
2/14/2025,243.3144073,244.2594112,239.7233806,239.9820086,40896200
2/18/2025,243.1850739,243.8913336,240.5688922,242.8667485,48822500
